Address,Size,Name
0x71018e7fd8,0036,_ZZN3agl3utl14ParameterCurveILj1EE5resetEvE12s_initialize
0x71018e9580,0004,_ZN10CollectBgm22cSituationNameListSizeE
0x71018e9584,0004,cCollectBgmListSize
0x71018e9588,0004,cCollectBgmBailoutInfoTableSize
0x71018f33cc,0004,_ZN2nn3nex29DataStoreNewArrivalCheckToken13CHECKSUM_SIZEE
0x71018f5a04,0065,_ZN2nn3nex16StringConversion12base64_charsE
0x71018f5a45,0128,_ZN2nn3nex16StringConversion13base64_valuesE
0x71018f5b08,0008,_ZN2nn3nex4Time9FREQUENCYE
0x71018f8340,0002,_ZN2nn3nex13RootTransport25DEFAULT_RELAY_SERVER_PORTE
0x71018f83f8,0004,_ZN2nn3nex6Stream34DEFAULT_RV_TRANSPORT_PROTOCOL_TYPEE
0x71018f8400,0008,_ZN2nn3nex12RelayMessage14SIGNATURE_SIZEE
0x71018f8408,0008,_ZN2nn3nex12RelayMessage11HEADER_SIZEE
0x71018f8410,0008,_ZN2nn3nex12RelayMessage16PING_HEADER_SIZEE
0x71018f8418,0004,_ZN2nn3nex12RelayMessage17GAMESERVER_XOR_IDE
0x71018f841c,0004,_ZN2nn3nex12RelayMessage16GATHERING_XOR_IDE
0x71018f8420,0008,_ZN2nn3nex12RelayMessage43MAX_SIGNED_PAYLOAD_SIZE_RELAYTYPE_RELAYDATAE
0x71018f8428,0004,_ZN2nn3nex12RelayMessage21VALID_TIMESTAMP_RANGEE
0x71018f842c,0004,_ZN2nn3nex12RelayMessage19TEST_GAME_SERVER_IDE
0x71018f8430,0004,_ZN2nn3nex12RelayMessage27PACKET_LOSS_CHECK_SERVER_IDE
0x71018f8434,0004,_ZN2nn3nex13PRUDPEndPoint29INITIAL_DISCONNECT_PACKET_RTOE
0x71018f8438,0004,_ZN2nn3nex13PRUDPEndPoint25MAX_DISCONNECT_PACKET_RTOE
0x71018f843c,0004,_ZN2nn3nex11PRUDPStream31CHECK_SOCKET_STATUS_INTERVAL_MSE
0x71018f8440,0004,_ZN2nn3nex11PRUDPStream27SERVICE_TIMEOUT_INTERVAL_MSE
0x71018f8444,0004,_ZN2nn3nex11PRUDPStream35PURGE_DELETED_ENDPOINTS_INTERVAL_MSE
0x71018f8448,0004,_ZN2nn3nex3RTT18MIN_DEVIATION_GAINE
0x71018f9846,0001,_ZN2nn3nex15WebSocketClient28WS_REGARD_AS_DEAD_PING_COUNTE
0x71018f9848,0008,_ZN2nn3nex15WebSocketClient29WS_REASON_MESSAGE_BUFFER_SIZEE
0x71018f9850,0008,_ZN2nn3nex15WebSocketClient27WS_RECV_MESSAGE_BUFFER_SIZEE
0x71018f9858,0004,_ZN2nn3nex15WebSocketClient26WS_CONNECT_SLEEP_TIME_MSECE
0x71018f985c,0004,_ZN2nn3nex15WebSocketClient33WS_CONNECT_SEND_RECV_TIMEOUT_MSECE
0x71018f9860,0008,_ZN2nn3nex15WebSocketClient22WS_MESSAGE_HEADER_SIZEE
0x71018f9868,0008,_ZN2nn3nex15WebSocketClient12MAX_URL_SIZEE
0x71018f9d68,0004,_ZN2nn3nex6Socket14SOCKET_SUCCESSE
0x71018f9d6c,0004,_ZN2nn3nex6Socket10SOCKET_ERRE
0x71018f9d70,0004,_ZN2nn3nex6Socket31DEFAULT_TRANSPORT_PROTOCOL_TYPEE
0x71018f9d74,0004,_ZN2nn3nex12SocketDriver31DEFAULT_CONNECT_THREAD_PRIORITYE
0x71018f9d78,0004,_ZN2nn3nex15WebSocketDriver34HTTP_STATUS_CODE_UNDER_MAINTENANCEE
0x71018f9d7c,0004,_ZN2nn3nex15WebSocketDriver21HTTP_STATUS_CODE_GONEE
0x71018f9d80,0004,_ZN2nn3nex15WebSocketDriver43HTTP_STATUS_CODE_APPLICATION_VERSION_IS_OLDE
0x71018f9d84,0004,_ZN2nn3nex15WebSocketDriver31HTTP_STATUS_CODE_OUT_OF_SERVICEE
0x71018f9d88,0004,_ZN2nn3nex31ConnectionOrientedSocketManager24BLOCKING_RECV_TIMEOUT_MSE
0x71018fa618,0096,_ZN2nn3nex17BuiltInPrincipals11SystemUsersE
0x71018fe5c8,0008,_ZN2nn3g3d7ResFile9SignatureE
0x71018ff0e4,0016,_ZN4sead8Matrix22IfE4zeroE
0x71018ff0f4,0016,_ZN4sead8Matrix22IfE5identE
0x71018ff104,0036,_ZN4sead8Matrix33IfE4zeroE
0x71018ff128,0036,_ZN4sead8Matrix33IfE5identE
0x71018ff14c,0048,_ZN4sead8Matrix34IfE4zeroE
0x71018ff17c,0048,_ZN4sead8Matrix34IfE5identE
0x71018ff1ac,0064,_ZN4sead8Matrix44IfE4zeroE
0x71018ff1ec,0064,_ZN4sead8Matrix44IfE5identE
0x71018ff230,0032,_ZN4sead8Matrix22IdE4zeroE
0x71018ff250,0032,_ZN4sead8Matrix22IdE5identE
0x71018ff270,0072,_ZN4sead8Matrix33IdE4zeroE
0x71018ff2b8,0072,_ZN4sead8Matrix33IdE5identE
0x71018ff300,0096,_ZN4sead8Matrix34IdE4zeroE
0x71018ff360,0096,_ZN4sead8Matrix34IdE5identE
0x71018ff3c0,0128,_ZN4sead8Matrix44IdE4zeroE
0x71018ff440,0128,_ZN4sead8Matrix44IdE5identE
0x71018ff4c0,0016,_ZN4sead4QuatIfE4unitE
0x71018ff4d0,0032,_ZN4sead4QuatIdE4unitE
0x71018ff4f0,0008,_ZN4sead7Vector2IiE4zeroE
0x71018ff4f8,0008,_ZN4sead7Vector2IiE2exE
0x71018ff500,0008,_ZN4sead7Vector2IiE2eyE
0x71018ff508,0008,_ZN4sead7Vector2IiE4onesE
0x71018ff510,0012,_ZN4sead7Vector3IiE4zeroE
0x71018ff51c,0012,_ZN4sead7Vector3IiE2exE
0x71018ff528,0012,_ZN4sead7Vector3IiE2eyE
0x71018ff534,0012,_ZN4sead7Vector3IiE2ezE
0x71018ff540,0012,_ZN4sead7Vector3IiE4onesE
0x71018ff54c,0016,_ZN4sead7Vector4IiE4zeroE
0x71018ff55c,0016,_ZN4sead7Vector4IiE2exE
0x71018ff56c,0016,_ZN4sead7Vector4IiE2eyE
0x71018ff57c,0016,_ZN4sead7Vector4IiE2ezE
0x71018ff58c,0016,_ZN4sead7Vector4IiE2ewE
0x71018ff59c,0016,_ZN4sead7Vector4IiE4onesE
0x71018ff5ac,0008,_ZN4sead7Vector2IjE4zeroE
0x71018ff5b4,0008,_ZN4sead7Vector2IjE2exE
